SupplierID,Name,ABN,ACN,AddressLine1,Suburb,State,Postcode,e_mail
805033,Alison Nunn,14 722 012 380,,"Level 2,  46 Little Latrobe Street",Melbourne,VIC,3000,alison@an-architect.com.au
805034,Audun Pedersen,51 123 409 747,,55 Anzac Road,Trafalgar,VIC,3824,audun@sympac.com.au
805035,DCPM Architects Pty Ltd,64 054 694 941,054 694 941,140 Gladstone Street,South Melb,VIC,3205,amnon@dcpmarchitects.com.au
805056,Alexander Metherell Pty Ltd,,,55 Hardware Street,Melbourne,VIC,3000,
805057,Gillon Consulting Group Pty Ltd,88 074 056 161,074 056 161,"Level 1, 38 Atherton Road",OAKLEIGH,VIC,3166,k.brewer@gillonconsulting.com.au
805058,All General Surveying Pty Ltd,,006 256 702,47 North Valley Road,Highton,VIC,3216,
805059,Allan Powell Pty Ltd,,006 768 225,19 Victoria Street,St Kilda,VIC,3182,
805060,Allan Van Surveys,,,1st Floor 71 Palmerston Cres,South Melbourne,VIC,3205,
805061,Lovell Chen Pty Ltd,20 005 803 494,005 803 494,Level 5  176 Wellington Parade,EAST MELBOURNE,VIC,3002,tdulley@lovellchen.com.au
805063,Amcosh Occupational Health Services,,1162163 D,Cnr Sneydes Road & South Road,Werribee,VIC,3030,amcosh @ slim.agvic.gov.au
805069,Anderson & Cassisi Pty Ltd,,006 200 595,140 Upper Heidelberg Road,Ivanhoe,VIC,3079,
805070,Andrew C Ward,,,12 Leonard Street,Burwood,VIC,3125,
805072,Andrew O'Brien & Associates Pty Ltd,,007 006 037,3/59 Avenue Road,Camberwell,VIC,3124,aobtraf@iaccess.com.au
805074,Cunningham & Keddie Pty Ltd,98006056159,006 056 159,3 Cardigan Place,ALBERT PARK,VIC,3206,cka@netspace.net.au
805075,Anne Douglas Interior Design,40 149 689 112,,30 Tyrone Street,SOUTH YARRA,VIC,3141,adid@optusnet.com.au
805077,Anthony R Prowse & Associates Pty Ltd,,006 931 835,Suite 8  13-25 Church Street,HAWTHORN,VIC,3122,a_prowse@quail.net.au
805078,Anthony Moodie & Associates Pty Ltd,,005 749 217,97 Greythorn Road,North Balwyn,VIC,3104,moodie@labyrinth.net.au
805079,Anthony Stokes & Associates,,,"Suite 5, 532 Hampton Street",Hampton,VIC,3188,
805086,Arnold Prince & Associates Pty Ltd,,007 025 701,4 Burrindi Road,South Caulfield,VIC,3162,arnold@alphalink.com.au
805089,Ashton Raggatt McDougall Pty Ltd,22 476 949 399,004 662 962,Level 11 522 Flinders Lane,Melbourne,VIC,3000,arm.melb@armarchitecture.com.au
805095,Austin Australia Pty Ltd,22 000 363 020,000 363 020,Level 1 222 Kings Way,South Melbourne,VIC,3205,melbourne@austin.au.com
805098,Australian Government Analytical Laboratories Agal,,,51-65 Clarke Street,South Melbourne,VIC,3205,
805099,Axilite Pty Ltd,,,2A Kintore Street,Camberwell,VIC,3124,
805102,BBA Cost Planning & Financial Services,61 349 549 330,100 412 324,Level 10  350 Queen Street,MELBOURNE,VIC,3000,peter.watt@burnsbridge.com.au
805106,B J Marshall,,,131 Napier Street,Stawell,VIC,3380,
805110,B M Culley & Associates Pty Ltd,40 726 754 334,005 250 555,"Level 2, 390 St Kilda Road",Melbourne,VIC,3004,mel@bmc.com.au
805112,B S C Consulting Engineers Pty Ltd,,005 016 428,37 Macedon Road,Lower Templestowe,VIC,3107,bsca1@optusnet.com.au
805113,B W Esler Services Pty Ltd Wangaratta,54 651 719 938,001 667 205,31 Baker Street,Wangaratta,VIC,3677,jpm@eslers.com.au
805114,B W Esler & Associates Wodonga,,,83 Hume Highway,Wodonga,VIC,3690,
805115,B W Esler Services Pty Ltd Albury,,001 667 205,598 Macauley Street,Albury,NSW,2640,jpm@eslers.com.au
805116,B Gladman,,,2/579 Toorak Road,Toorak,VIC,3142,
805117,Brad Hooper Architect,47 077 185 149,,161 Dow Street,Port Melbourne,VIC,3207,bvh1@bigpond.net.au
805121,Q.S. Consultants Pty Ltd,49 087 063 278,087 063 278,100 St James Road,Heidelberg,VIC,3084,qs@baglinpartners.com.au
805126,Baldasso Cortese Pty Ltd,43 006 779 728,006 779 728,Level 1/103 Oxford Street,Collingwood,VIC,3066,abaldasso@bcarch.net
805127,Ballantyne & Downie Pty Ltd,,,264 Springvale Road,Donvale,VIC,3111,
805130,Barlow Associates,,,57 Berry Street,East Melbourne,VIC,3002,
805131,BBD Consultants Pty Ltd,58 438 874 566,005 537 940,"Level 1, 104 Burwood Road",HAWTHORN,VIC,3122,
805132,Barrett Fuller & Partners,,,515 Bridge Road,Richmond,VIC,3122,bfpmelb @ interconnect.com.au
805134,Bates Smart & McCutcheon Pty Ltd,,,1 Clarendon Street,East Melbourne,VIC,3002,
805141,Belvoir Consulting,,057 590 164,2 Nilmar Avenue,Wodonga,VIC,3690,richard@belvoirconsulting.com.au
805144,Best Overend & Associates,,,158 Moray Street,South Melbourne,VIC,3205,
805145,Beyer Wilson & Crisp Pty Ltd,64 005 544 918,005 544 918,"Suite 309, 685 Burke Road",CAMBERWELL,VIC,3124,hkbmelb@hkb.com.au
805147,BRT Consulting Pty Ltd,22 348 245 341,006 041 989,159 Victoria Parade,Collingwood,VIC,3066,alex@brt.com.au
805149,Bill Gamble Consultants Pty LtdBairnsdale,,005 231 265,63A McLeod Street,Bairnsdale,VIC,3875,bill.gamble@gamcorp.com.au
805150,Williams Ross Architects Pty Ltd,96 005 624 868,005 624 868,"Suite 1, 70 Kerr Street",Fitzroy,VIC,3065,email@williamsross.com
805153,DS Architects Pty Ltd,59 005 204 679,005 204 679,390 Burwood Road,Hawthorn,VIC,3122,pschreuder@dsarch.com.au
805155,Bochsler & Partners Pty Ltd,,006 420 266,5 Edward Street,Toorak,VIC,3142,bochsler @ netspace.net.au
805156,Robert Pierce & Associates,,,5 Rucker Street,NORTHCOTE,VIC,3070,pierce@netspace.net.au
805157,Bonacci Winward Melb Pty Ltd,,060 332 345,233 Punt Road,Richmond,VIC,3121,bonwinm @ ozemail.com.au
805162,Breaden & Gullan Pty Ltd,45 086 884 931,006 165 297,111 Mollison Street,Bendigo,VIC,3550,eplus@eplusarchitecture.com.au
805163,Breese Pitt Dixon Pty Ltd,,005 950 103,1 Alfred Street,Hawthorn,VIC,3122,bpdpl@ozemail.com.au
805166,Bruce Allen & John Courmadias Pty Ltd,96 761 148 319,005 681 363,Level 8  34 Queens Road,Melbourne,VIC,3004,bruce.allen@stanhill.com.au
805167,Bruce Henderson Architects Pty Ltd,86 411 417 873,096 188 573,162 Toorak Road,South Yarra,VIC,3141,rbooth@bh-architects.com
805169,Bruce Thomas & Associates,,006 831 456,15 Burwood Highway,Burwood,VIC,3125,info@thomasnicolas.com.au
805171,Building Inertia Pty Ltd,42 097 713 516,097 713 516,2/307 Main Street,Mornington,VIC,3931,steve@wkharchitects.com.au
805172,Buchan Laird & Bawden Vic Pty Ltd,17 007 272 826,007 272 826,"Level 1, 696 Bourke Street",West Melbourne,VIC,3003,tbg@melbourne.buchan.com.au
805303,D H Armstrong,,,60 Berry Avenue,Edithvale,VIC,3196,
805305,D J Douglas & Partners Pty Ltd,,,31 Cremorne Street,Richmond,VIC,3121,
805306,D M Landy & Associates Pty Ltd,,005 264 880,696 Glenhuntly Road,Caulfield South,VIC,3162,dmlandy@mira.net
805308,D M Sellars,,,4 Naroon Road,Alphington,VIC,3078,
805313,D Bennett & Associates,,,54 Elizabeth Street,Richmond,VIC,3121,
805315,David Demsky Architect Pty Ltd,17 077 791 470,077 791 470,"Suite 2, 385 Malvern Road",South Yarra,VIC,3141,demskyarchitect@optusnet.com.au
805316,D Dyson-Holland & Associates Pty Ltd,91 143 432 274,005 767 091,8/340 Gore Street,FITZROY,VIC,3065,david@ddh.com.au
805317,Dominic Kiernan & Associates Pty Ltd,33 006 920 985,006 920 985,103 Windsor Crescent,Mont Albert,VIC,3127,domarc1@optusnet.com.au
902204,Cundall Johnston & Partners Pty Ltd,16 104 924 370,104 924 370,"Level 2, 330 Little Collins Street",Melbourne,VIC,3000,c.mccabe@cundall.com.au
902205,AMCD Pty Ltd,58 918 283 483,126 247 667,33 Nish Street,Echuca,VIC,3564,alastair@ecotecturedesign.com.au
902206,Law Architects Pty Ltd,87 541 659 619,128 424 494,The Old Dairy  2 / 45 Watkins Street,FITZROY NORTH,VIC,3068,admin@lawarchitects.com.au
902207,WBCM Pty Ltd,90 277 388 450,076 354 197,"Level 4, 210 Kings Way",South Melbourne,VIC,3205,oliver@wbcm.com.au
902208,Bowen Group Pty Ltd,,,11 Ramage Street,BAYSWATER,VIC,3153,paul@bowengroup.com.au
902210,CFP Pty Ltd,62 142 632 933,142 632 933,"Factory 8, 31 Hosie St",Bayswater,VIC,3153,mthomas@groupcfp.com.au
902211,Singh Consulting Pty Ltd,47 142 213 269,142 213 269,"Level 27, 101 Collins Street",Melbourne,VIC,3000,narinder@singhconsulting.com.au
902212,Maxcon Constructions Pty Ltd,69 152 259 820,152 259 820,1/164 Flinders lane,Melbourne,VIC,3000,celzain@maxcon.net.au
902213,Elite Lift Services pty Ltd,,,4 / 88 Ireland Street,WEST MELBOURNE,VIC,3003,ben@elitelift.com.au
902214,Newtown Builders Pty Ltd,,,4 Brice Avenue,Newtown geelong,VIC,3220,info@newtownbuilders.com.au
902215,A1 Partitions Vic Pty Ltd,46 058 770 840,076 497 419,1374 North Road,Huntingdale,VIC,3166,jared@a1office.com.au
902216,Broard Construction Services [Qld] Pty Ltd,38089532061,89532061,11 Newton Street,RICHMOND,VIC,3121,marcus.worn@broadapm.com.au
902219,Fraser Paxton Architects Pty Ltd,94 141 375 573,141 375 573,1/190 Bourke Street,Melbourne,VIC,3000,fp@fraserpaxton.com.au
902220,Shee Oak Ridge Pty Ltd,50 100 419 707,100 419 707,63 Grant St,Bacchus Marsh,VIC,3340,sheeoak@gmail.com
902152,TekNova Consult Pty Ltd,28 006 762 581,006 762 581,22 Prestige dr,Melbourne,VIC,3169,luba@teknovaconsult.com.au
902191,Kleinfelder Australia Pty Ltd,23 146 082 500,146 082 500,L1  95 Coventry Street,South Melbourne,VIC,3205,geggleston@kleinfelder.com
902209,Staff Building & Contracting Pty Ltd,34 005 526 910,005 526 910,"Factory 1, 4 Lyall St",Hastings,VIC,3915,staffbuildingco@gmail.com
902218,Ross & Cric Henry Pty Ltd,33 006 996 774,006 996 774,165 Yarra Street,Warrandyte,VIC,3113,office@henryarchitects.com.au
902221,Montercarlo Drive Pty Ltd,,,26 Jamieson Street,WARRNAMBOOL,VIC,3280,ibolden@bigpond.net.au
902222,Eastick Homes Pty Ltd,24158013426,158013426,165 Moore Street,ARARAT,VIC,3377,axehomes@bigpond.net.au
902223,Architecture & Access [Aust] Pty Ltd,45159663582,159663582,"Level 5, 369 Royal Parade",PARKVILLE,,3052,asanderson@architectureandaccess.com.au
902224,Resonate Consultants Pty Ltd,86 152 097 955,152 097 955,"Level 4, 10 Yarra Street",South Yarra,VIC,3141,matthew.stead@resonateacoustics.com
902228,Ekberg Architecture Pty Ltd,47 066 210 991,066 210 991,2 O'Connor Street,Black Rock,VIC,3193,richardekberg@optusnet.com.au
902230,HBS Group Pty Ltd,58 117 976 164,117 976 164,17 Abbott Street,Alphington,VIC,3078,lucy.latina@hbsgroup.com.au
902231,HBO EMTB Architecture Pty Limited,42 163 598 543,163 598 543,"Level 8, 460 Collins Street",MELBOURNE,VIC,3000,tberardi@hboemtb.com
902232,Tempo Via Pty Ltd,62 084 726 929,084 726 929,12 Browning Drive,Templestowe,VIC,3106,smarasea@tre-vi.com.au
902233,Fyfe Pty Ltd,57 008 116 130,008 116 130,G109/202 Jells Road,Wheelers Hill,VIC,3150,glenn.thiele@fyfe.com.au
902235,G.A Awad & S.Samuel,20 715 43 948,,9 Sunshine Close,Greensborough,VIC,3088,sherif@archisolutions.com.au
902236,Select Investments Vic Pty Ltd,93 596 377 820,057 810 349,"Level 1, 1 Queens Road",Melbourne,VIC,3004,frank@dimension6.com.au
902237,Associated Builders Pty Ltd,22 091 644 085,091 644 085,78 Nissan Drive,Dandenong South,VIC,3175,alex@associatedbuilders.com.au
902239,Ballarat Construction Management Pty Ltd,43 094 417 079,117 326 244,900 Humffray Street,MOUNT PLEASANT,VIC,3350,david@ballaratcm.com.au
902240,Supertech Project Management Australia Pty Ltd,33 006 539 411,006 539 411,"Unit 22,  20  Commerical Road",MELBOURNE,VIC,3004,rhorat@suptec.com.au
902241,Construct4 Building Group Pty Ltd,59 005 688 719,005 688 719,1 Keith Street,HAMPTON EAST,VIC,3188,andrew@construct4.com.au
902243,Devcon Properties Pty Ltd,94 094 909 583,094 909 583,166 Russells rd,Bannockburn,VIC,3331,michael@devconproperties.com.au
902244,TANDEM Design Studio Pty Ltd,25 115 144 100,115 144 100,"L2, 322 Little Lonsdale Street",Melbourne,VIC,3000,james@tandem-studio.net
902245,Wilzen Holdings Pty Ltd,81 141 588 593,107 787 146,23 Seven Creeks Drive,Kialla,VIC,3631,chris@barzenbuilders.com.au
902246,Precom Pty Ltd,45 115 360 524,115 360 524,33-35 Garden St,Kilsyth,VIC,3137,rob@prebuilt.com.au
902247,Peter Clements Architects Pty Ltd,,,13  Joybells Crescent,TARNEIT,VIC,3030,peterclementsarchitect@gmail.com
902250,Unispace Global Pty Ltd,69 145 608 537,145 608 537,93-95 Palmerston Crescent,South Melbourne,VIC,3205,jaime.salisbury@unispace.com
902251,CQL Building Group Pty Ltd,,,"Level 1, 172 Flinders Street",MELBOURNE,VIC,3000,a.shisman@cqlbuild.com.au
902253,Hickory Group Pty Ltd,84 091 236 912,091 236 912,"Level 1, 101 Cremorne Street,","Richmond, Melbourne",VIC,3121,damien.crough@unitisedbuilding.com.au
902257,Davidov Partners Pty Ltd,,152 414 698,71 Balmain Street,Richmond,VIC,3121,robert@davidov.com.au
902264,Gladona Building Services Pty Ltd,90 470 352 304,470 352 304,21 Scarborough Road,Vermont South,VIC,3133,gladona@bigpond.com
902163,Thomas McKenzie,15 272 462 578,,1/155 Gertrude Street,Fitzroy,VIC,3065,thom@thomaswinwood.com.au
902238,Country Fire Authority,39255319010,,"Units 2 & 3, 59 King Street",Bendigo,VIC,3550,n.knight@cfa.vic.gov.au
902242,Stuart McLean Builders  Pty Ltd,76105112516,105112516,3 Ross Street,NORTHCOTE,VIC,3070,stuart.mclean@enviroline.com.au
902248,Vic Permits Pty Ltd,,,,,,,michael@vicpermits.com.au
902254,Brunswick Group Pty Ltd,34 132  755 241,132  755 241,9 Queen St,MELBOURNE,VIC,3000,paul@brunswickgroup.com.au
902256,Biruu Pty Ltd,91 145 663 716,145 663 716,"Level 14, 15 Collins Street",MELBOURNE,VIC,3000,d.grounds@biruu.com
805175,Building Management Consulting Pty Ltd,,,5 Stanfield Court,Glen Waverley,VIC,3150,
805176,Building Surveying Services Pty Ltd,,,59 Fletcher Street,Essendon,VIC,3040,
805177,Burns Bridge Australia Pty Ltd,12 182 761 211,006 547 306,"Level 10, 350 Queens Street",MELBOURNE,VIC,3000,renee.wood@sweettgroup.com
805178,Burton & Carter Pty Ltd,56 005 903 275,005 903 275,514 City Road,South Melbourne,VIC,3205,burtoncarter@bigpond.com
805179,C H Butt,,,6/11 Woorigoleen Road,Toorak,VIC,3142,
805180,C J Arms & Associates,,,1 Price Street,Oakleigh South,VIC,3167,armpower@ozonline.com.au
805181,C K Interiors,,,424 Burke Road,Camberwell,VIC,3124,
805185,C R Knight & Associates Australia Pty Ltd,,005 443 041,17 Raglan Street,South Melbourne,VIC,3205,crk@crk.com.au
902313,Geoffs Test Contractor,05 123 456 789,123 456 789,Level 5  1 Macarthur Street,MELBOURNE,VIC,3000,geoff.dickson@dtf.vic.gov.au
902314,4D Workshop Pty Ltd,75 150 139 245,150 139 245,Ground Floor  164 Flinders Lane,Melbourne,VIC,3000,"rob.diblasi@4dworkshop.com.au, info@4dworkshop.com.au"
902315,DS Building Solutions Pty Ltd,90 128 754 594,128 754 594,163 Murray Road,Gisborne,VIC,3437,daniel@dsbuildingsolutions.com.au
902316,Johnstaff Projects Vic Pty Ltd,79 137 728 977,137 728 977,"Level 8, 21 Victoria Street",MELBOURNE,VIC,3000,jpl@johnstaff.com.au
902322,Motion Elevators Australia Pty Ltd,56 165 127 864,165 127 864,407 Clarendon Street,SOUTH MELBOURNE,VIC,3205,tony@motionelevators.com.au
902323,Just Solutions Property Group Pty Ltd,73 535 932 803,154 851 484,Suite 3 / 100 Cochrane Road,MOORABBIN,VIC,3189,info@jspg.com.au
902327,Jakob Andrew Kelly,44 127 384 014,,77 Thompson Street,Hamilton,VIC,3300,jake@jkarchitect.com.au
902328,CR & LE Priestley,,,7 Stewart Street,MARLO,VIC,3888,lukep@bigpond.net.au
902331,Paramount Projects Pty Ltd,,,Unit 4 / 46 Gilbert Park Drive,KNOXFIELD,VIC,3180,trevor@p-projects.com.au
902598,Metaxas Architects Pty Ltd,18 079 178 626,,152 Queensberry Street,Carlton,VIC,3053,georgem@metaxasarch.com
902615,Kinban Building Consultants Pty Ltd,25 386 240 840,162 896 442,410 Burke Road,Camberwell,VIC,3124,matt@kinban.com.au
902616,Benjamin Willick,22 430 108 476,,1/30 Nolan,Mansfield,VIC,3722,ben@willickdesign.com
902617,T3 Architecture Pty Ltd,88 605 413 902,605 413 902,21 Dove Street,West Footscray,VIC,3012,mena@t3archi.com.au
902624,Otway Securities Pty Ltd,57 064 686 913,121 259 685,609 Otway St South,Ballarat,VIC,3350,justin@mkmcon.com.au
902625,GJM Heritage - Purcell Asia Pacific Ltd,62 348 237 636,348 237 636,61 Little Collins Street,Melbourne,VIC,3000,tracey.skovronek@purcelluk.com
902629,Conrad Gargett Pty Ltd,49 325 121 350,010 350 633,"Level 27, 400 George Street",BRISBANE,QLD,4001,rmoore@conradgargett.com.au
902630,Lexicon  Co Pty Ltd,43 817 626 167,127 948 501,20 John Street,COLLINGWOOD,VIC,3066,paul@lexiconco.com.au
902631,Icon Co Vic Pty Ltd,54 604 790 132,604 790 132,"Suite 3, 110 Cubitt Street",Cremorne,VIC,3121,msisson@iconco.com.au
902632,Nikau Pty Ltd,98 607 487 758,607 487 758,192 Dohertys Rd,Laverton North,VIC,3026,peter.coffey@nikaugroup.com
902634,Independent Demolition Pty Ltd,54 601 198 645,601 198 645,7-8 Kearsley Court,Altona North,VIC,3025,admin@independentdemolition.com.au
902635,N & I Contractors,90 580 730 205,,35 Montbrae Circuit,NARRE WARREN,VIC,3805,adriana@iurescu.com
902637,Arcadis Australia Pacific Pty Limited,76 104 485 289,104 485 289,"Level 32, 140 William Street",Melbourne,VIC,3000,ausproposal.coordinators@arcadis.com
902639,GR Design and Construct Pty Ltd,52 132 285 511,132 285 511,112 Salmon St,Port Melbourne,VIC,3207,recprodvic@grdesignandconstruct.com.au
902640,Warren Smith & Partners Pty Limited,36 300 430 126,002 197 088,"Level 1, 123 Clarence Street",Sydney,NSW,2000,david@warrensmith.com.au
902641,Blueprint Engineering & Developments Pty Ltd,38 608 493 018,608 493 018,520 City Rd,South Melbourne,VIC,3205,fgute@bece.com.au
902643,4Front Construction Pty Ltd,29 162 734 134,162 734 134,65 Scott Parade,Ballarat,VIC,3350,mat@4frontconstruction.com.au
902647,Central Vic Fitouts Pty Ltd,65 600 429 178,600 429 178,119 wills st,bendigo,VIC,3550,michael.cason@totalfitouts.com.au
902445,Vert Engineering Pty Ltd,18 154 820 390,154 820 390,"Level 1, 58 Camberwell Road",Hawthorn East,VIC,3123,l.patone@vertengineering.com
902478,MCKENZIE GROUP CONSULTING VIC PTY. LTD.,49 093 211 977,093 211 977,Level 2  99 William Street,Melbourne,VIC,3000,kireland@mckenzie-group.com.au
902524,Peter Argyriou,74 048 797 905,,15 Kiama Court,Oakleigh East,VIC,3166,peter.arg@optusnet.com.au
902606,Southern Cross Building Group Pty  Ltd,89 502 300 292,099 053 326,50 Nathan Road,Dandenong South,VIC,3175,jeff@safetysteel.com.au
902611,Lanskey Constructions Pty Ltd,66 010 636 512,010 636 512,Unit 1/38 White Street,South Melbourne,VIC,3205,ralphtrovato@lanskey.com.au
902613,Inland Consultants Pty Ltd,68 007 106 541,007 106 541,50-54 Madden Avenue,Mildura,VIC,3502,larry@inland.com.au
805187,C W Fallaw & Associates Pty Ltd,,006 628 413,232 Latrobe Terrace,Geelong West,VIC,3218,cwfallaw@gmail.com
805189,C Sanderson,,,5 Trees 3 Chain Road,Rutherglen,VIC,3685,
805197,Cargill Design Consultants Pty Ltd,,,19 Gareth Avenue,Beaumaris,VIC,3193,
805198,Carol Frank-Mas & Associates,,,526 Hawthorn Road,Caulfield South,VIC,3162,
805199,Carr McLean & Watson Pty Ltd,96 081 785 524,081 785 524,Suite 3/532 Hampton Street,Hampton,VIC,3188,carrwat@vicnet.net.au
805200,Carr McNamara & Muir Pty Ltd,,005 951 173,108 Wyndham Street,Shepparton,VIC,3630,cmm@cnl.com.au
805205,Case Consulting Engineers,30 128 275 610,005 786 792,4 Ross Street,KEW,VIC,3101,peter@caseconsulting.com.au
805207,CK Designworks Pty Ltd,37 058 301 232,058 301 232,"Level 1,  424 Burke Road",Camberwell,VIC,3124,info@ckdesignworks.com
805208,Cecil R & Graham F Lyons Pty Ltd,26 005 098 448,005 098 448,351 Moray Street,South Melbourne,VIC,3205,
805211,Chambers Consulting Engineers Pty Ltd,,006 728 123,36 Carpenter Street,Bendigo,VIC,3550,
805212,Chancellor Patrick & Associates Pty Ltd,51 006 435 865,006 435 865,PO Box 369,YARRA JUNCTION,VIC,3797,nikweb@bigpond.net.au
805215,Charles Duncan Pty Ltd,,,8 Heather Street,South Melbourne,VIC,3205,
805219,C Ng,,,,,,,
805220,Chris Davis Architects,,,537 Saunders Avenue,Wodonga,VIC,3690,
805222,Chris How & Associates Pty Ltd,,005 460 926,116 Timor Street,Warrnambool,VIC,3280,
805223,Chris O'Brien & Company Pty Ltd,,,1st Floor 76 Hotham Street,Traralgon,VIC,3844,
